score_bucket,trades,win_rate,avg_r,profit_factor
60-69,2242,29.5,-0.08,0.89
70-79,0,0.0,0.0,0.0
80-84,590,28.6,-0.1,0.86
85-89,331,24.5,-0.24,0.68
90-93,1535,25.0,-0.22,0.71
94-97,170,20.0,-0.37,0.53
98-100,426,22.3,-0.3,0.62
