model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_C,BERGEPAINT,2025-09-16,VALIDATION,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_D,BERGEPAINT,2025-09-16,VALIDATION,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_E,BERGEPAINT,2025-09-16,VALIDATION,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_A,BERGEPAINT,2025-09-23,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,BERGEPAINT,2025-09-23,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_C,BERGEPAINT,2025-09-23,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_D,BERGEPAINT,2025-09-23,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_E,BERGEPAINT,2025-09-23,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_A,BERGEPAINT,2025-09-30,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
MODEL_B,BERGEPAINT,2025-09-30,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
MODEL_C,BERGEPAINT,2025-09-30,VALIDATION,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
