model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_B,EMAMILTD,2023-09-08,TRAIN,BULL,SUPPLY,1,False,7.0,9.0,68,2.0,True
MODEL_D,EMAMILTD,2023-09-08,TRAIN,BULL,SUPPLY,1,False,7.0,9.0,68,-1.0,False
MODEL_E,EMAMILTD,2023-09-08,TRAIN,BULL,SUPPLY,1,False,7.0,9.0,68,-1.0,False
MODEL_B,EMAMILTD,2023-09-15,TRAIN,BULL,SUPPLY,1,False,7.0,9.0,68,2.0,True
MODEL_D,EMAMILTD,2023-09-15,TRAIN,BULL,SUPPLY,1,False,7.0,9.0,68,-1.0,False
MODEL_E,EMAMILTD,2023-09-15,TRAIN,BULL,SUPPLY,1,False,7.0,9.0,68,-1.0,False
MODEL_A,EMAMILTD,2023-09-25,TRAIN,BULL,DEMAND,2,False,7.0,11.5,90,-1.0,False
MODEL_B,EMAMILTD,2023-09-25,TRAIN,BULL,DEMAND,2,False,7.0,11.5,90,-1.0,False
MODEL_C,EMAMILTD,2023-09-25,TRAIN,BULL,DEMAND,2,False,7.0,11.5,90,-1.0,False
MODEL_A,EMAMILTD,2023-10-03,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,EMAMILTD,2023-10-03,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_D,EMAMILTD,2023-10-03,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_E,EMAMILTD,2023-10-03,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_A,EMAMILTD,2023-10-10,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,EMAMILTD,2023-10-10,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_C,EMAMILTD,2023-10-10,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_D,EMAMILTD,2023-10-10,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_E,EMAMILTD,2023-10-10,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_A,EMAMILTD,2023-10-17,TRAIN,BULL,DEMAND,2,False,7.0,11.5,90,-1.0,False
MODEL_B,EMAMILTD,2023-10-17,TRAIN,BULL,DEMAND,2,False,7.0,11.5,90,2.0,True
MODEL_A,EMAMILTD,2023-10-25,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,EMAMILTD,2023-10-25,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_C,EMAMILTD,2023-10-25,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_A,EMAMILTD,2023-11-01,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,EMAMILTD,2023-11-01,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_C,EMAMILTD,2023-11-01,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_D,EMAMILTD,2023-11-01,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_E,EMAMILTD,2023-11-01,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_A,EMAMILTD,2023-11-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_B,EMAMILTD,2023-11-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_C,EMAMILTD,2023-11-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,2.0,True
MODEL_A,EMAMILTD,2023-11-16,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_B,EMAMILTD,2023-11-16,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_C,EMAMILTD,2023-11-16,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_D,EMAMILTD,2023-11-16,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_E,EMAMILTD,2023-11-16,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_A,EMAMILTD,2023-11-23,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,-1.0,False
MODEL_B,EMAMILTD,2023-11-23,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,-1.0,False
MODEL_C,EMAMILTD,2023-11-23,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,-1.0,False
MODEL_D,EMAMILTD,2023-11-23,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,-1.0,False
MODEL_E,EMAMILTD,2023-11-23,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,-1.0,False
MODEL_A,EMAMILTD,2023-12-01,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,100,-1.0,False
MODEL_B,EMAMILTD,2023-12-01,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,100,-1.0,False
MODEL_C,EMAMILTD,2023-12-01,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,100,-1.0,False
MODEL_D,EMAMILTD,2023-12-01,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,100,-1.0,False
MODEL_E,EMAMILTD,2023-12-01,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,100,-1.0,False
MODEL_A,EMAMILTD,2023-12-08,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_B,EMAMILTD,2023-12-08,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_C,EMAMILTD,2023-12-08,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_D,EMAMILTD,2023-12-08,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_E,EMAMILTD,2023-12-08,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_A,EMAMILTD,2023-12-15,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_B,EMAMILTD,2023-12-15,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_C,EMAMILTD,2023-12-15,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_A,EMAMILTD,2023-12-22,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_B,EMAMILTD,2023-12-22,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_C,EMAMILTD,2023-12-22,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_D,EMAMILTD,2023-12-22,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_E,EMAMILTD,2023-12-22,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_A,EMAMILTD,2024-01-03,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_B,EMAMILTD,2024-01-03,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_C,EMAMILTD,2024-01-03,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_D,EMAMILTD,2024-01-03,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_E,EMAMILTD,2024-01-03,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_A,EMAMILTD,2024-01-25,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,2.0,True
